id,name,category,region,latitude,longitude,description_sw,description_en,tips,source,keywords
1,Stone Town,heritage,Zanzibar Urban/West,-6.1630,39.1890,"Mji Mkongwe ni eneo la kihistoria lenye majengo ya mawe, milango ya Zanzibar, masoko na historia ya biashara ya Bahari ya Hindi.","Stone Town is a historic area known for coral-stone buildings, carved doors, markets, and Indian Ocean trade history.","Best for walking tour, history, photos, Forodhani evening food market.","Wikivoyage/OpenStreetMap","stone town mji mkongwe history heritage old town forodhani"
2,Forodhani Gardens,food,Zanzibar Urban/West,-6.1609,39.1898,"Bustani ya Forodhani ni sehemu maarufu kwa chakula cha jioni, mandazi, mishkaki, urojo na vyakula vya baharini.","Forodhani Gardens is a popular evening food area near the waterfront with local snacks and seafood.","Go in evening; check prices before ordering; good for local food experience.","OpenStreetMap/Wikivoyage","forodhani food market evening seafood"
3,Prison Island,beach,north of Stone Town,-6.1190,39.1690,"Kisiwa cha Prison Island kina historia na kasa wakubwa; pia ni safari fupi ya boti kutoka Stone Town.","Prison Island is known for history, giant tortoises, and a short boat trip from Stone Town.","Carry sunscreen; negotiate boat fare; combine with snorkeling if weather is good.","Wikivoyage/OpenStreetMap","prison island changuu tortoise snorkeling boat"
4,Nungwi Beach,beach,Zanzibar North,-5.7260,39.2980,"Nungwi ni fukwe maarufu kaskazini mwa Zanzibar, nzuri kwa kuogelea, machweo na shughuli za baharini.","Nungwi is a popular northern beach, good for swimming, sunsets, and marine activities.","Good for sunset and beach resorts; check tide and transport time from Stone Town.","OpenStreetMap/Wikivoyage","nungwi beach sunset swimming north coast"
5,Kendwa Beach,beach,Zanzibar North,-5.7540,39.2890,"Kendwa ni fukwe tulivu karibu na Nungwi, inayojulikana kwa mchanga mweupe na kuogelea.","Kendwa is a calmer beach near Nungwi known for white sand and swimming.","Good for relaxing; suitable if you want less crowded beach time.","OpenStreetMap/Wikivoyage","kendwa beach white sand swimming"
6,Jozani Forest,nature,Zanzibar South/Central,-6.2510,39.4070,"Msitu wa Jozani ni makazi ya kima punju wekundu wa Zanzibar na njia za kutembea kwenye mikoko.","Jozani Forest is known for Zanzibar red colobus monkeys and mangrove walking trails.","Use a guide; do not feed monkeys; good half-day trip.","OpenStreetMap/Wikivoyage","jozani forest red colobus monkeys mangrove nature"
7,Paje Beach,beach,Zanzibar East,-6.2670,39.5350,"Paje ni eneo maarufu kwa kitesurfing, mikahawa ya pwani na mandhari ya bahari ya mashariki.","Paje is popular for kitesurfing, beach cafes, and east-coast ocean views.","Best during good wind season; check tide times for swimming.","OpenStreetMap/Wikivoyage","paje beach kitesurfing east coast"
8,Jambiani,beach,Zanzibar East,-6.3200,39.5460,"Jambiani ni kijiji cha pwani chenye utamaduni wa wenyeji, matembezi ya ufukweni na uzoefu wa maisha ya Zanzibar.","Jambiani is a coastal village for local culture, beach walks, and quieter Zanzibar life.","Good for cultural stays; respect local dress near villages.","OpenStreetMap/Wikivoyage","jambiani village beach local culture"
9,Spice Farm Tour,culture,Zanzibar Central,-6.1000,39.2500,"Ziara ya mashamba ya viungo huonyesha karafuu, mdalasini, pilipili manga na historia ya Zanzibar kama kisiwa cha viungo.","Spice farm tours show cloves, cinnamon, pepper, and Zanzibar’s spice-island history.","Go with a licensed guide; buy spices only if quality and price are clear.","Tourism datasets/OpenStreetMap","spice farm cloves cinnamon spice tour"
10,House of Wonders,heritage,Stone Town,-6.1600,39.1900,"Beit-al-Ajaib ni moja ya majengo maarufu ya kihistoria katika Stone Town, karibu na Forodhani.","The House of Wonders is one of Stone Town’s iconic historic buildings near Forodhani.","Check current opening/restoration status before visiting.","Wikivoyage/OpenStreetMap","house of wonders beit al ajaib museum heritage"
11,Serengeti National Park,nature,Tanzania Mainland,-2.3333,34.8333,"Serengeti ni hifadhi maarufu duniani kwa uhamaji wa nyumbu, simba na safari za wanyama pori.","Serengeti is famous for the wildebeest migration, lions, and wildlife safaris.","Requires flight/long road trip from Zanzibar; plan with safari operator.","Wikivoyage/OpenStreetMap","serengeti safari wildlife migration lions"
12,Mount Kilimanjaro,nature,Tanzania Mainland,-3.0674,37.3556,"Mlima Kilimanjaro ni mlima mrefu zaidi Afrika na kivutio kikubwa kwa wapandaji.","Mount Kilimanjaro is Africa’s highest mountain and a major trekking destination.","Book through licensed operators; allow several days for acclimatization.","Wikivoyage/OpenStreetMap","kilimanjaro mountain trekking highest africa"
13,Ngorongoro Crater,nature,Tanzania Mainland,-3.1618,35.5877,"Ngorongoro ni kreta kubwa yenye wanyama pori wengi na mandhari ya kipekee.","Ngorongoro Crater is a large crater with abundant wildlife and distinctive landscapes.","Often combined with Serengeti; book permits/accommodation early.","Wikivoyage/OpenStreetMap","ngorongoro crater safari wildlife"
14,Dar es Salaam,city,Tanzania Mainland,-6.7924,39.2083,"Dar es Salaam ni jiji kubwa la biashara, bandari na njia kuu ya kuingia Tanzania.","Dar es Salaam is Tanzania’s major commercial city, port, and transport gateway.","Useful for flights, ferries to Zanzibar, embassies, and shopping.","GeoNames/OpenStreetMap","dar es salaam city ferry airport port"
15,Dodoma,city,Tanzania Mainland,-6.1630,35.7516,"Dodoma ni mji mkuu wa Tanzania na kituo cha serikali.","Dodoma is Tanzania’s capital and government center.","Useful for official visits; not a primary beach/safari destination.","GeoNames/OpenStreetMap","dodoma capital government"
